Exercise,Modifier
Deadlift,10
Lat Pulldown,5
Seated Cable Row,5
Face Pull,5
Hammer Curl,5
Dumbell Bicep Curl,5
Dumbbell Bicep Curl,5
Bent Over Row,5
T-bar Row,5
Good Morning,5
Defecit Deadlift,10
Pull Up,5
Farmer Carry,5
Shrug,5
Bench Press,5
Military Press,5
Incline Dumbbell Press,5
Tricep Pushdown,5
Overhead Tricep Extension,5
Lateral Raise,2.5
Incline Bench Press,5
Push Press,5
Arnold Press,5
Dip,5
Squat,5
Romanian Deadlift,10
Leg Press,10
Calf Raise,5
Leg Extension,5
Hamstring Curl,5
Glute Bridge,5
Lunge,5
Leg Curl,5
Floor Press,5
One Arm Dumbell Row - Right,5
One Arm Dumbell Row - Left,5
Dumbell Preacher Curl - Right,5
Dumbell Preacher Curl - Left,5
Suitcase Dumbell Romanian Deadlift - Right,5
Suitcase Dumbell Romanian Deadlift - Left,5
Hip Thrusters,5
Tricep Extension,5
Decline Bench Press,5
Bench Pin Press,5
Shoulder Pin Press,5
Preacher Curl,5
Chest Supported Row,5
Chest Fly,5
Rear Delt Fly,5
Dumbbell Floor Fly,5
Dumbbell Rear Delt Fly,5
Front Raise,5
Dumbbell Calf Raise,5
Lateral Lunge,5
Crossover Lunge,5
Dubbell Step Ups,5
Dumbbell Good Morning,5
Dumbbell Pause Squat,5
Close Grip Floor Press,5
Close Grip Bench Press,5
Shoulder Press Machine,5
Rack Pull,5
Barbell Reverse Curl,5
Leg Extension,5
Glute Extension,5
